OBJECTID,Place,תאריך,שעות שהייה,x,y
1940015,"רבי יהודה הנשיא 37, מודיעין עילית",21/7/2020,מ 2020-07-21 10:00 עד 2020-07-21 13:00,35.04537800000003,31.93912670000003
1940016,"רבי שמעון בר יוחאי 23, מודיעין עילית",21/7/2020,מ 2020-07-21 16:00 עד 2020-07-21 18:30,35.04226500000004,31.93772510000008
1940017,"רבי יהודה הנשיא 41, מודיעין עילית",21/7/2020,מ 2020-07-21 19:00 עד 2020-07-21 20:30,35.04554280000008,31.93968570000004
1940018,קניון עזריאלי חולון - חולון,19/7/2020,מ 2020-07-19 17:30 עד 2020-07-19 18:30,34.77906420000005,32.01295090000008
1940019,Max Brenner - תל אביב יפו,22/7/2020,מ 2020-07-22 09:00 עד 2020-07-22 10:00,34.78697290000008,32.07150390000004
1940020,בית כנסת ובית חב''ד מודיעין - אולם אירועים ומקווה - מודיעין מכבים רעות,23/7/2020,מ 2020-07-23 09:00 עד 2020-07-23 10:30,35.01341600000006,31.903234000000054
1940021,אושר עד חיפה - חיפה,24/7/2020,מ 2020-07-24 10:00 עד 2020-07-24 12:30,35.03472720000008,32.78099000000003
1940022,"ב. קונקט מחשבים בע""מ - אילת",20/7/2020,מ 2020-07-20 08:30 עד 2020-07-20 09:00,34.95657600000004,29.565009100000054
1940023,סופר-פארם אסף הרופא - באר יעקב,19/7/2020,מ 2020-07-19 15:20 עד 2020-07-19 15:30,34.84292380000005,31.968713000000037
1940024,"מאפה נאמן - קניון הסיטי, אשדוד - Ashdod",19/7/2020,מ 2020-07-19 12:00 עד 2020-07-19 13:30,34.63930010000007,31.79046210000007
1940025,מסעדת ברביץ' - Eilat,19/7/2020,מ 2020-07-19 14:00 עד 2020-07-19 17:00,34.924595700000054,29.512026800000054
1940026,לאומית אשדוד סיטי - אשדוד,21/7/2020,מ 2020-07-21 08:00 עד 2020-07-21 13:00,34.641896200000076,31.788451800000075
1940027,"יורדי הסירה 1, תל אביב יפו",20/7/2020,מ 2020-07-20 17:30 עד 2020-07-20 19:00,34.77400910000006,32.096475600000076
1940028,קניון שער הצפון - קרית אתא,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:00,35.07454500000006,32.80559210000007
1940029,"פאולוס השישי 104, נצרת",22/7/2020,מ 2020-07-22 09:00 עד 2020-07-22 19:00,35.29898970000005,32.70174480000003
1940030,סופר-פארם ביג אילת - אילת,20/7/2020,מ 2020-07-20 11:00 עד 2020-07-20 11:30,34.958746000000076,29.567977300000052
1940031,פארק עתידים - הוד השרון,20/7/2020,מ 2020-07-20 09:15 עד 2020-07-20 11:30,34.90841560000007,32.16305840000007
1940032,לחם בשר הרצליה - הרצליה,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 17:00,34.79596830000003,32.163603600000044
1940033,לערוך שולחן - ראשון לציון,19/7/2020,מ 2020-07-19 16:00 עד 2020-07-19 17:00,34.81086270000003,31.97309390000004
1940034,שופרסל שלי - קדימה צורן,20/7/2020,מ 2020-07-20 14:00 עד 2020-07-20 15:00,34.945848700000056,32.28769710000006
1940035,חומוס אליהו - ירושלים,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 15:30,35.21916390000007,31.78108530000003
1940036,פארק תעשיות קיסריה הצפוני - קיסריה,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 14:00,34.94641000000007,32.48654600000003
1940037,ישיבת נחלת הלויים - Haifa,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 23:30,35.014388000000054,32.784558600000025
1940038,בריכת מעש - כפר מעש,20/7/2020,מ 2020-07-20 17:00 עד 2020-07-20 20:30,34.88992280000008,32.06491500000004
1940039,"פז אצטדיון פ""ת - פתח תקווה",19/7/2020,מ 2020-07-19 20:00 עד 2020-07-19 20:30,34.87563730000005,32.09826890000005
1940040,"ירושלים 46, כפר סבא",19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 10:30,34.90670740000007,32.17826660000003
1940041,"קרן היסוד 3, טירת כרמל",19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 17:00,34.96880950000008,32.76997320000004
1940042,"קרן היסוד 3, טירת כרמל",20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 11:30,34.96880950000008,32.76997320000004
1940043,"קרן היסוד 3, טירת כרמל",21/7/2020,מ 2020-07-21 08:00 עד 2020-07-21 11:00,34.96880950000008,32.76997320000004
1940044,ישיבת כנסת יצחק - חדרה,20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 15:00,34.913913500000035,32.43110230000008
1940045,"מאה שערים 52, ירושלים",19/7/2020,מ 2020-07-19 10:30 עד 2020-07-19 14:00,35.223321800000065,31.787064800000053
